charid,QCcalc,A,B,Source
bod,RPD,0.1,0.2,DEQ04-LAB-0047-QAPP Version 2.0 Appendix A
do,AbsDiff,0.3,1,DQM Version 5.0
ec,LogDiff,0.6,0.8,DQM Version 5.0
ent,LogDiff,0.6,0.8,DEQ04-LAB-0047-QAPP Version 2.0 Appendix A
fc,LogDiff,0.6,0.8,DEQ04-LAB-0047-QAPP Version 2.0 Appendix A
k,AbsDiff,0.5,1,DEQ86-LAB-0002-QAG Version 8.0 p. 63
k,RPD,0.2,0.4,DEQ default
nh3,AbsDiff,0.01,0.02,DEQ12-LAB-0001-SOP Version 1.0
nh3,RPD,0.2,0.4,DEQ12-LAB-0001-SOP Version 1.0
nit,AbsDiff,0.005,0.01,"DEQ02-LAB-0010-SOP Version 6.0 (LQL, low level limit 10 x LQL)"
nit,RPD,0.1,0.2,DEQ02-LAB-0010-SOP Version 6.0 (Lab duplicates)
no2,AbsDiff,0.1,0.2,"DEQ02-LAB-0010-SOP Version 6.0 (LQL, low level limit 10 x LQL)"
no2,RPD,0.1,0.2,DEQ02-LAB-0010-SOP Version 6.0 (Lab duplicates)
no3,AbsDiff,0.1,0.2,"DEQ02-LAB-0010-SOP Version 6.0 (LQL, low level limit 10 x LQL)"
no3,RPD,0.1,0.2,DEQ02-LAB-0010-SOP Version 6.0 (Lab duplicates)
op,AbsDiff,0.005,0.01,DEQ03-LAB-0031-SOP Version 3.4
op,RPD,0.3,0.4,DEQ03-LAB-0031-SOP Version 3.4
ph,AbsDiff,0.3,0.5,DQM Version 5.0
sc,RPD,0.1,0.15,DQM Version 5.0
t,AbsDiff,0.5,2,DQM Version 5.0
tb,AbsDiff,3,3.01,DQM Version 5.0
tb,RPD,0.2,0.3,DQM Version 5.0
tds,RPD,0.2,0.4,DEQ04-LAB-0047-QAPP Version 2.0 Appendix A
tkn,AbsDiff,0.4,0.8,DEQ02-LAB-0009-SOP Version 4.1
tkn,RPD,0.3,0.4,DEQ02-LAB-0009-SOP Version 4.1
tp,AbsDiff,0.02,0.04,DEQ04-LAB-0023-SOP Version 2.2
tp,RPD,0.3,0.4,DEQ04-LAB-0023-SOP Version 2.2
ts,RPD,0.2,0.4,DEQ04-LAB-0047-QAPP Version 2.0 Appendix A
tss,AbsDiff,2,4,TSS SOP for DEQ lab version 2.4
tss,RPD,0.2,0.4,DEQ04-LAB-0047-QAPP Version 2.0 Appendix A
w,AbsDiff,0.3,1,DQM Version 5.0
sl,RPD,0.07,0.14,Beach QAPP Verson 2.0 DEQ03-LAB-0042-QAPP.pdf
q,RPD,0.1,0.3,Excellent q measure is +/- 5 %
mv,RPD,0.1,0.3,none
csa,RPD,0.1,0.3,none
wl,AbsDiff,0.02,0.04,none
se,RPD,0.1,0.2,"above 2 meters, see \\deqlab1\wqm\Volunteer Monitoring\Protocols\SecchiQC.xlsx"
se,AbsDiff,0.15,0.3,in meters low level 2 meters see \\deqlab1\wqm\Volunteer Monitoring\Protocols\SecchiQC.xlsx
dos,AbsDiff,5,10,LDO SOP
bod5,RPD,0.1,0.2,DEQ04-LAB-0047-QAPP
bod5,AbsDiff,0.3,1,none
bods,AbsDiff,0.3,1,DQM Version 5.0 DO criteria
